Split,Train %,Test %,test_size,random_state,n_train,n_test,Model,Test_R2,Test_MAE,Test_RMSE
90/10,90,10,0.1,42,123,14,Linear Regression,0.622982569937007,0.4831336213256369,0.6509894231073642
90/10,90,10,0.1,42,123,14,Random Forest,0.4928634155971531,0.5108284572218174,0.7550151892230548
90/10,90,10,0.1,42,123,14,XGBoost,0.5812519655659703,0.5128687028884887,0.6860718635256969
80/20,80,20,0.2,42,109,28,Linear Regression,0.7800422310152983,0.4063482331503617,0.551462907977844
80/20,80,20,0.2,42,109,28,Random Forest,0.7289029899712942,0.42308653204691005,0.612222120795196
80/20,80,20,0.2,42,109,28,XGBoost,0.6746838229278007,0.48076294245038703,0.6706554893332233
70/30,70,30,0.3,42,95,42,Linear Regression,0.8503528207690314,0.38555746848492056,0.5075549184378603
70/30,70,30,0.3,42,95,42,Random Forest,0.7697722149902083,0.4324070242678784,0.6295462491504044
70/30,70,30,0.3,42,95,42,XGBoost,0.7250826262807636,0.48882904624938966,0.6879388979594149
60/40,60,40,0.4,42,82,55,Linear Regression,0.823335374220254,0.3917101478667832,0.5109610252096184
60/40,60,40,0.4,42,82,55,Random Forest,0.7553895185824445,0.4006305569181865,0.6012436557968135
60/40,60,40,0.4,42,82,55,XGBoost,0.7308239967008665,0.43128096674138844,0.6307120753164697
