Split,Train %,Test %,test_size,random_state,n_train,n_test,Model,Test_R2,Test_MAE,Test_RMSE
80/20,80,20,0.2,0,109,28,Linear Regression,0.6194226630663198,0.4455427889845348,0.553115842184712
80/20,80,20,0.2,0,109,28,Random Forest,0.6346518489876067,0.40740970003808574,0.5419361142319712
80/20,80,20,0.2,0,109,28,XGBoost,0.6065065311286522,0.4383259066854204,0.5624234244424069
80/20,80,20,0.2,7,109,28,Linear Regression,0.7411243952427631,0.38630844411542203,0.5152251555911814
80/20,80,20,0.2,7,109,28,Random Forest,0.7492581678328574,0.3680678055580923,0.5070664696731298
80/20,80,20,0.2,7,109,28,XGBoost,0.7365862726397145,0.38699784374237073,0.5197215173306624
80/20,80,20,0.2,42,109,28,Linear Regression,0.7800422310152983,0.4063482331503617,0.551462907977844
80/20,80,20,0.2,42,109,28,Random Forest,0.7289029899712943,0.42308653204690977,0.6122221207951959
80/20,80,20,0.2,42,109,28,XGBoost,0.6746838229278007,0.48076294245038703,0.6706554893332233
80/20,80,20,0.2,123,109,28,Linear Regression,0.8224481222297738,0.40660217889402134,0.5504399314577231
80/20,80,20,0.2,123,109,28,Random Forest,0.8385553240284852,0.38307927454940394,0.5248789561891887
80/20,80,20,0.2,123,109,28,XGBoost,0.7981294861975985,0.4238544768605913,0.5869265309323958
